"","Player","Pos.x","Age.x","Tm.x","G.x","GS","MP.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","MP.y","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Álex Abrines\abrinal01","SG",23,"OKC",68,6,15.5,2,5,0.393,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6,"SG",23,"OKC",68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,NA,1.2,0.9,2.1,0.096,NA,-0.3,-2.2,-2.5,-0.1
"2","Quincy Acy\acyqu01","PF",26,"TOT",38,1,14.7,1.8,4.5,0.412,1,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,"PF",26,"TOT",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,NA,0.5,0.5,0.9,0.082,NA,-1.8,-1.2,-3,-0.1
"3","Quincy Acy\acyqu01","PF",26,"TOT",38,1,14.7,1.8,4.5,0.412,1,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,"PF",26,"DAL",6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,NA,-0.2,0,-0.1,-0.133,NA,-10.1,-6,-16.2,-0.2
"4","Quincy Acy\acyqu01","PF",26,"TOT",38,1,14.7,1.8,4.5,0.412,1,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8,"PF",26,"BRK",32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,NA,0.6,0.5,1.1,0.102,NA,-1.1,-0.7,-1.8,0
"5","Quincy Acy\acyqu01","PF",26,"DAL",6,0,8,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1,1.3,0,0,0,0.3,1.5,2.2,"PF",26,"TOT",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,NA,0.5,0.5,0.9,0.082,NA,-1.8,-1.2,-3,-0.1
"6","Quincy Acy\acyqu01","PF",26,"DAL",6,0,8,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1,1.3,0,0,0,0.3,1.5,2.2,"PF",26,"DAL",6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,NA,-0.2,0,-0.1,-0.133,NA,-10.1,-6,-16.2,-0.2
"7","Quincy Acy\acyqu01","PF",26,"DAL",6,0,8,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1,1.3,0,0,0,0.3,1.5,2.2,"PF",26,"BRK",32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,NA,0.6,0.5,1.1,0.102,NA,-1.1,-0.7,-1.8,0
"8","Quincy Acy\acyqu01","PF",26,"BRK",32,1,15.9,2,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,"PF",26,"TOT",38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,NA,0.5,0.5,0.9,0.082,NA,-1.8,-1.2,-3,-0.1
"9","Quincy Acy\acyqu01","PF",26,"BRK",32,1,15.9,2,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,"PF",26,"DAL",6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,NA,-0.2,0,-0.1,-0.133,NA,-10.1,-6,-16.2,-0.2
"10","Quincy Acy\acyqu01","PF",26,"BRK",32,1,15.9,2,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,"PF",26,"BRK",32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,NA,0.6,0.5,1.1,0.102,NA,-1.1,-0.7,-1.8,0
"11","Steven Adams\adamsst01","C",23,"OKC",80,80,29.9,4.7,8.2,0.571,0,0,0,4.7,8.2,0.572,0.571,2,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1,1.8,2.4,11.3,"C",23,"OKC",80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,NA,3.3,3.1,6.5,0.13,NA,-0.7,1.2,0.6,1.5
"12","Arron Afflalo\afflaar01","SG",31,"SAC",61,45,25.9,3,6.9,0.44,1,2.5,0.411,2,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,"SG",31,"SAC",61,1580,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,NA,1.2,0.2,1.4,0.043,NA,-1.4,-2.1,-3.5,-0.6
"13","Alexis Ajinça\ajincal01","C",28,"NOP",39,15,15,2.3,4.6,0.5,0,0.1,0,2.3,4.5,0.511,0.5,0.7,1,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2,5.3,"C",28,"NOP",39,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,NA,0,0.9,1,0.08,NA,-5.1,1,-4.1,-0.3
"14","Cole Aldrich\aldrico01","C",28,"MIN",62,0,8.6,0.7,1.4,0.523,0,0,NA,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,"C",28,"MIN",62,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,NA,0.6,0.7,1.3,0.116,NA,-2,2.6,0.6,0.4
"15","LaMarcus Aldridge\aldrila01","PF",31,"SAS",72,72,32.4,6.9,14.6,0.477,0.3,0.8,0.411,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,"PF",31,"SAS",72,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,NA,3.5,3.7,7.2,0.149,NA,-0.3,1.3,1,1.8
"16","Lavoy Allen\allenla01","PF",27,"IND",61,5,14.3,1.3,2.8,0.458,0,0,0,1.3,2.7,0.461,0.458,0.4,0.5,0.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,"PF",27,"IND",61,871,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1,2.4,13.7,10.9,NA,0.9,0.8,1.7,0.093,NA,-1.5,1.3,-0.3,0.4
"17","Tony Allen\allento01","SG",35,"MEM",71,66,27,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,"SG",35,"MEM",71,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,NA,0.2,2.9,3.1,0.077,NA,-1.8,2.4,0.6,1.3
"18","Al-Farouq Aminu\aminual01","PF",26,"POR",61,25,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,"PF",26,"POR",61,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,NA,-0.1,2,1.9,0.051,NA,-2.3,1.2,-1.1,0.4
"19","Chris Andersen\anderch01","C",38,"CLE",12,0,9.5,0.8,1.8,0.409,0,0.3,0,0.8,1.6,0.474,0.409,0.8,1.2,0.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,"C",38,"CLE",12,114,11.6,0.497,0.136,0.636,9,20.6,15,5.9,2.2,5,15.1,13,NA,0.1,0.2,0.2,0.102,NA,-3.8,3,-0.9,0
"20","Alan Anderson\anderal01","SF",34,"LAC",30,0,10.3,1,2.7,0.375,0.5,1.5,0.318,0.5,1.2,0.444,0.463,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0,0.2,1.2,2.9,"SF",34,"LAC",30,308,5,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0,7.4,13.7,NA,0,0.1,0.1,0.02,NA,-2.6,-2.3,-4.9,-0.2
"21","Justin Anderson\anderju01","SF",23,"TOT",75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,"SF",23,"TOT",75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,NA,0.6,1.3,1.9,0.074,NA,-1.2,-0.3,-1.6,0.1
"22","Justin Anderson\anderju01","SF",23,"TOT",75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,"SF",23,"DAL",51,710,14.7,0.521,0.44,0.318,6.1,18.9,12.2,7.6,2.1,2,11.2,23.6,NA,0.1,0.9,1,0.067,NA,-1.8,-0.1,-2,0
"23","Justin Anderson\anderju01","SF",23,"TOT",75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,"SF",23,"PHI",24,518,12.8,0.564,0.444,0.253,6.4,14.1,10.2,10.4,1.2,1.1,12.6,17.2,NA,0.5,0.4,0.9,0.084,NA,-0.4,-0.6,-1,0.1
"24","Justin Anderson\anderju01","SF",23,"DAL",51,2,13.9,2.2,5.4,0.401,0.7,2.4,0.303,1.5,3,0.477,0.468,1.4,1.7,0.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5,"SF",23,"TOT",75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,NA,0.6,1.3,1.9,0.074,NA,-1.2,-0.3,-1.6,0.1
"25","Justin Anderson\anderju01","SF",23,"DAL",51,2,13.9,2.2,5.4,0.401,0.7,2.4,0.303,1.5,3,0.477,0.468,1.4,1.7,0.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5,"SF",23,"DAL",51,710,14.7,0.521,0.44,0.318,6.1,18.9,12.2,7.6,2.1,2,11.2,23.6,NA,0.1,0.9,1,0.067,NA,-1.8,-0.1,-2,0
"26","Justin Anderson\anderju01","SF",23,"DAL",51,2,13.9,2.2,5.4,0.401,0.7,2.4,0.303,1.5,3,0.477,0.468,1.4,1.7,0.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5,"SF",23,"PHI",24,518,12.8,0.564,0.444,0.253,6.4,14.1,10.2,10.4,1.2,1.1,12.6,17.2,NA,0.5,0.4,0.9,0.084,NA,-0.4,-0.6,-1,0.1
"27","Justin Anderson\anderju01","SF",23,"PHI",24,8,21.6,3.1,6.8,0.463,0.9,3,0.292,2.3,3.8,0.6,0.528,1.3,1.7,0.78,1.3,2.8,4,1.4,0.5,0.3,1.1,1.9,8.5,"SF",23,"TOT",75,1228,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,NA,0.6,1.3,1.9,0.074,NA,-1.2,-0.3,-1.6,0.1
"28","Justin Anderson\anderju01","SF",23,"PHI",24,8,21.6,3.1,6.8,0.463,0.9,3,0.292,2.3,3.8,0.6,0.528,1.3,1.7,0.78,1.3,2.8,4,1.4,0.5,0.3,1.1,1.9,8.5,"SF",23,"DAL",51,710,14.7,0.521,0.44,0.318,6.1,18.9,12.2,7.6,2.1,2,11.2,23.6,NA,0.1,0.9,1,0.067,NA,-1.8,-0.1,-2,0
"29","Justin Anderson\anderju01","SF",23,"PHI",24,8,21.6,3.1,6.8,0.463,0.9,3,0.292,2.3,3.8,0.6,0.528,1.3,1.7,0.78,1.3,2.8,4,1.4,0.5,0.3,1.1,1.9,8.5,"SF",23,"PHI",24,518,12.8,0.564,0.444,0.253,6.4,14.1,10.2,10.4,1.2,1.1,12.6,17.2,NA,0.5,0.4,0.9,0.084,NA,-0.4,-0.6,-1,0.1
"30","Kyle Anderson\anderky01","SF",23,"SAS",72,14,14.2,1.3,2.9,0.445,0.2,0.6,0.375,1.1,2.3,0.462,0.481,0.6,0.8,0.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4,"SF",23,"SAS",72,1020,12.5,0.525,0.191,0.273,3.7,19,11.5,12.4,2.5,2.1,14.3,12.1,NA,0.7,2,2.7,0.127,NA,-2.1,3.7,1.6,0.9
"31","Ryan Anderson\anderry01","PF",28,"HOU",72,72,29.4,4.5,10.7,0.418,2.8,7,0.403,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3,4.6,0.9,0.4,0.2,0.8,2,13.6,"PF",28,"HOU",72,2116,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,NA,4,1.1,5.2,0.117,NA,1.8,-2.6,-0.8,0.6
"32","Giannis Antetokounmpo\antetgi01","SF",22,"MIL",80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7,8.8,5.4,1.6,1.9,2.9,3.1,22.9,"SF",22,"MIL",80,2845,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,NA,7.9,4.5,12.4,0.21,NA,4.1,3.5,7.6,6.9
"33","Carmelo Anthony\anthoca01","SF",32,"NYK",74,74,34.3,8.1,18.8,0.433,2,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,"SF",32,"NYK",74,2538,17.9,0.535,0.303,0.263,2.6,16,9.3,14.5,1.2,1.1,9,29.1,NA,3.2,1.5,4.7,0.089,NA,1.5,-2.2,-0.7,0.8
"34","Joel Anthony\anthojo01","C",34,"SAS",19,0,6.4,0.5,0.8,0.625,0,0,NA,0.5,0.8,0.625,0.625,0.3,0.4,0.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3,"C",34,"SAS",19,122,11.6,0.64,0,0.5,7.6,20.9,14.4,3.4,0.8,4,17,8.7,NA,0.1,0.2,0.4,0.141,NA,-3.1,2.5,-0.6,0
"35","Trevor Ariza\arizatr01","SF",31,"HOU",80,80,34.7,4.1,10,0.409,2.4,6.9,0.344,1.7,3,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,"SF",31,"HOU",80,2773,12.4,0.548,0.695,0.158,2.1,15.9,9,8.8,2.5,0.6,7.9,14.1,NA,2.8,3.2,6,0.104,NA,0.7,1,1.7,2.6
"36","Darrell Arthur\arthuda01","PF",28,"DEN",41,7,15.6,2.3,5.2,0.442,1.3,2.9,0.453,1,2.4,0.429,0.565,0.5,0.5,0.864,0.6,2.1,2.7,1,0.5,0.5,0.9,1.9,6.4,"PF",28,"DEN",41,639,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,NA,0.6,0.4,1.1,0.081,NA,0.3,-0.6,-0.3,0.3
"37","Ömer Aşık\asikom01","C",30,"NOP",31,19,15.5,1,2.1,0.477,0,0,NA,1,2.1,0.477,0.477,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,"C",30,"NOP",31,482,9.8,0.517,0,0.6,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8,NA,0.4,0.6,1,0.1,NA,-4.3,1.2,-3.1,-0.1
"38","D.J. Augustin\augusdj01","PG",29,"ORL",78,20,19.7,2.5,6.6,0.377,1.2,3.5,0.347,1.3,3.1,0.412,0.469,1.7,2.1,0.814,0.2,1.3,1.5,2.7,0.4,0,1.2,1.3,7.9,"PG",29,"ORL",78,1538,11,0.524,0.53,0.311,1,7.4,4.1,20.4,1,0.1,13.3,19.4,NA,0.7,0.5,1.2,0.038,NA,-0.9,-3.3,-4.2,-0.9
"39","Luke Babbitt\babbilu01","SF",27,"MIA",68,55,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8,"SF",27,"MIA",68,1065,8.3,0.563,0.747,0.053,1.2,13.5,7.3,4.8,0.9,0.8,8,13,NA,0.8,1,1.8,0.081,NA,-1.1,-0.9,-1.9,0
"40","Ron Baker\bakerro01","SG",23,"NYK",52,13,16.5,1.6,4.2,0.378,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,"SG",23,"NYK",52,857,7.5,0.456,0.396,0.198,1.5,10.8,6.2,17.3,2,0.8,19.2,14.8,NA,-0.6,0.5,-0.1,-0.008,NA,-3.5,-0.9,-4.4,-0.5
"41","Wade Baldwin\baldwwa01","PG",20,"MEM",33,1,12.3,1.1,3.5,0.313,0.1,0.7,0.136,1,2.8,0.355,0.326,0.9,1.1,0.838,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,3.2,"PG",20,"MEM",33,405,6.5,0.404,0.191,0.322,3,10.2,6.5,22.8,2.3,1.7,22.9,19.1,NA,-0.8,0.5,-0.3,-0.041,NA,-6.2,0.5,-5.7,-0.4
"42","Leandro Barbosa\barbole01","SG",34,"PHO",67,0,14.4,2.6,5.9,0.439,0.5,1.5,0.357,2,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,"SG",34,"PHO",67,963,11.5,0.509,0.25,0.115,1.6,10.3,5.9,13,1.5,0.7,10.4,20,NA,0.3,0.4,0.6,0.031,NA,-2,-2.1,-4.1,-0.5
"43","J.J. Barea\bareajo01","PG",32,"DAL",35,6,22,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0,1.8,0.9,10.9,"PG",32,"DAL",35,771,17.2,0.521,0.431,0.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,NA,0.8,0.5,1.3,0.08,NA,2,-2.6,-0.5,0.3
"44","Harrison Barnes\barneha02","PF",24,"DAL",79,79,35.5,7.6,16.2,0.468,1,2.8,0.351,6.6,13.4,0.492,0.498,3.1,3.6,0.861,1.2,3.8,5,1.5,0.8,0.2,1.3,1.6,19.2,"PF",24,"DAL",79,2803,16.3,0.541,0.173,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,NA,2.5,2.1,4.6,0.078,NA,-0.7,-1.2,-1.9,0.1
"45","Matt Barnes\barnema02","SF",36,"TOT",74,18,24,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1,"SF",36,"TOT",74,1777,10.3,0.514,0.556,0.188,4.6,19.7,12.3,15.7,1.3,1.3,17.3,15.6,NA,0.3,1.7,2,0.053,NA,-1.2,0.6,-0.6,0.6
"46","Matt Barnes\barnema02","SF",36,"TOT",74,18,24,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1,"SF",36,"SAC",54,1367,10.2,0.501,0.551,0.172,4.7,19.9,12.4,16.3,1.3,1.1,16.8,16.4,NA,-0.1,1,1,0.034,NA,-1.2,0.3,-1,0.4
"47","Matt Barnes\barnema02","SF",36,"TOT",74,18,24,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1,"SF",36,"GSW",20,410,10.7,0.569,0.578,0.256,4.3,19.1,12.2,13.7,1.4,1.7,19.3,13.1,NA,0.3,0.6,1,0.115,NA,-1,1.6,0.6,0.3
"48","Matt Barnes\barnema02","SF",36,"SAC",54,13,25.3,2.7,7.1,0.384,1.3,3.9,0.327,1.4,3.2,0.453,0.474,0.9,1.2,0.758,1,4.4,5.4,2.8,0.7,0.3,1.5,2.6,7.6,"SF",36,"TOT",74,1777,10.3,0.514,0.556,0.188,4.6,19.7,12.3,15.7,1.3,1.3,17.3,15.6,NA,0.3,1.7,2,0.053,NA,-1.2,0.6,-0.6,0.6
"49","Matt Barnes\barnema02","SF",36,"SAC",54,13,25.3,2.7,7.1,0.384,1.3,3.9,0.327,1.4,3.2,0.453,0.474,0.9,1.2,0.758,1,4.4,5.4,2.8,0.7,0.3,1.5,2.6,7.6,"SF",36,"SAC",54,1367,10.2,0.501,0.551,0.172,4.7,19.9,12.4,16.3,1.3,1.1,16.8,16.4,NA,-0.1,1,1,0.034,NA,-1.2,0.3,-1,0.4
"50","Matt Barnes\barnema02","SF",36,"SAC",54,13,25.3,2.7,7.1,0.384,1.3,3.9,0.327,1.4,3.2,0.453,0.474,0.9,1.2,0.758,1,4.4,5.4,2.8,0.7,0.3,1.5,2.6,7.6,"SF",36,"GSW",20,410,10.7,0.569,0.578,0.256,4.3,19.1,12.2,13.7,1.4,1.7,19.3,13.1,NA,0.3,0.6,1,0.115,NA,-1,1.6,0.6,0.3
"51","Matt Barnes\barnema02","SF",36,"GSW",20,5,20.5,1.9,4.5,0.422,0.9,2.6,0.346,1,1.9,0.526,0.522,1,1.2,0.87,0.8,3.8,4.6,2.3,0.6,0.5,1.2,2.4,5.7,"SF",36,"TOT",74,1777,10.3,0.514,0.556,0.188,4.6,19.7,12.3,15.7,1.3,1.3,17.3,15.6,NA,0.3,1.7,2,0.053,NA,-1.2,0.6,-0.6,0.6
"52","Matt Barnes\barnema02","SF",36,"GSW",20,5,20.5,1.9,4.5,0.422,0.9,2.6,0.346,1,1.9,0.526,0.522,1,1.2,0.87,0.8,3.8,4.6,2.3,0.6,0.5,1.2,2.4,5.7,"SF",36,"SAC",54,1367,10.2,0.501,0.551,0.172,4.7,19.9,12.4,16.3,1.3,1.1,16.8,16.4,NA,-0.1,1,1,0.034,NA,-1.2,0.3,-1,0.4
"53","Matt Barnes\barnema02","SF",36,"GSW",20,5,20.5,1.9,4.5,0.422,0.9,2.6,0.346,1,1.9,0.526,0.522,1,1.2,0.87,0.8,3.8,4.6,2.3,0.6,0.5,1.2,2.4,5.7,"SF",36,"GSW",20,410,10.7,0.569,0.578,0.256,4.3,19.1,12.2,13.7,1.4,1.7,19.3,13.1,NA,0.3,0.6,1,0.115,NA,-1,1.6,0.6,0.3
"54","Will Barton\bartowi01","SG",26,"DEN",60,19,28.4,4.9,11.1,0.443,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,"SG",26,"DEN",60,1705,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,NA,2.5,0.8,3.3,0.093,NA,1.3,-1,0.3,1
"55","Brandon Bass\bassbr01","PF",31,"LAC",52,0,11.1,2.1,3.6,0.575,0,0.1,0.333,2,3.5,0.579,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6,"PF",31,"LAC",52,577,19.7,0.65,0.016,0.473,8.6,16.2,12.5,5.7,1.2,1.6,11.4,19.7,NA,1.6,0.6,2.2,0.186,NA,0.1,-0.8,-0.7,0.2
"56","Nicolas Batum\batumni01","SG",28,"CHO",77,77,34,5.1,12.7,0.403,1.8,5.3,0.333,3.4,7.4,0.453,0.472,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1,"SG",28,"CHO",77,2617,15.8,0.529,0.415,0.291,1.9,18.4,10.1,27.7,1.6,1,15,22.3,NA,1.7,2.8,4.6,0.084,NA,0.7,0.6,1.2,2.1
"57","Jerryd Bayless\bayleje01","PG",28,"PHI",3,1,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3,9,0.333,0.375,3,3.3,0.9,1,3,4,4.3,0,0,3,1.3,11,"PG",28,"PHI",3,71,8.7,0.453,0.156,0.313,4.6,14,9.3,29.4,0,0,19.8,27.7,NA,-0.1,0,-0.1,-0.067,NA,-5.2,-2.9,-8.2,-0.1
"58","Aron Baynes\baynear01","C",30,"DET",75,2,15.5,1.9,3.7,0.513,0,0,NA,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3,4.4,0.4,0.2,0.5,0.7,2.2,4.9,"C",30,"DET",75,1163,13.1,0.57,0,0.337,10,21.6,15.6,3.9,0.7,2.8,13.5,14.1,NA,1.4,1.5,3,0.123,NA,-2.9,1.1,-1.8,0.1
"59","Kent Bazemore\bazemke01","SF",27,"ATL",73,64,26.9,4,9.9,0.409,1.3,3.6,0.346,2.8,6.2,0.446,0.473,1.6,2.3,0.708,0.6,2.5,3.2,2.4,1.2,0.7,1.7,2.3,11,"SF",27,"ATL",73,1963,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,NA,-0.6,2.8,2.1,0.052,NA,-2,1.2,-0.8,0.6
"60","Bradley Beal\bealbr01","SG",23,"WAS",77,77,34.9,8.3,17.2,0.482,2.9,7.2,0.404,5.4,10,0.538,0.566,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2,2.2,23.1,"SG",23,"WAS",77,2684,20.1,0.604,0.418,0.259,2.2,7.8,5,16.2,1.5,0.7,9.6,26.5,NA,6.9,1.6,8.5,0.152,NA,4.5,-2.3,2.2,2.8
"61","Malik Beasley\beaslma01","SG",20,"DEN",22,1,7.5,1.5,3.3,0.452,0.4,1.3,0.321,1.1,2,0.533,0.514,0.4,0.5,0.8,0.2,0.5,0.8,0.5,0.3,0,0.4,0.5,3.8,"SG",20,"DEN",22,165,13.7,0.536,0.384,0.137,3.4,8,5.7,10.2,2.1,0,9.4,22,NA,0.1,0.1,0.2,0.057,NA,-0.5,-3.5,-3.9,-0.1
"62","Michael Beasley\beaslmi01","PF",28,"MIL",56,6,16.7,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.554,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,"PF",28,"MIL",56,935,17.8,0.584,0.106,0.259,5,18.9,12,9.9,1.5,2.5,12.7,25.3,NA,0.8,1,1.8,0.092,NA,-1.7,-1.1,-2.9,-0.2
